Non Manufacturers,,,,,Latest,Latest,Latest,Total,,Total,,Retained,Total Equity,,Latest,Latest,Previous,,Latest,Latest,Previous,,Latest,Latest,,,,,,,Working Cap/,Ret. Earnings/,EBIT/,Book Value of Equity/,,,,,,,
CDW,CDW CORP,Trade,Wholesale, 1.06 , High ,2020-03-31,1,2020," 4,665.8 "," 8,222.4 "," 3,647.2 "," 7,332.7 "," (2,067.3)", 889.7 ," 1,018.6 "," 18,032.4 "," 4,389.2 "," 3,957.9 "," 18,463.7 "," 1,133.6 ", 245.8 , 228.9 ," 1,150.5 ", 144.9 ,115.69," 16,763.48 ", 890 , 6.56 , 3.26 , 6.72 , 1.04 , 0.124 , (0.251), 0.140 , 0.121 , 0.81 , (0.82), 0.94 , 0.13 , 1.06 , High 
MCK,MCKESSON CORP,Trade,Wholesale, 1.05 , High ,2020-03-31,4,2020," 42,222.0 "," 61,247.0 "," 42,624.0 "," 54,536.0 "," 13,022.0 "," 5,092.0 ", (402.0)," 231,051.0 "," 231,051.0 "," 214,319.0 "," 231,051.0 "," 2,757.0 "," 2,757.0 "," 1,483.0 "," 2,757.0 ", 182.0 ,153.61," 27,957.02 "," 5,309 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.007), 0.213 , 0.045 , 0.097 , (0.04), 0.69 , 0.30 , 0.10 , 1.05 , High 
DTE,DTE ENERGY CO,Resources,Energy, 1.05 , High ,2020-06-30,2,2020," 3,497.0 "," 43,739.0 "," 4,196.0 "," 31,847.0 "," 6,618.0 "," 11,724.0 ", (699.0)," 12,669.0 "," 5,605.0 "," 6,402.0 "," 11,872.0 "," 1,683.0 ", 943.0 , 836.0 ," 1,790.0 ", 192.0 ,114.7," 22,022.40 "," 11,892 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.016), 0.151 , 0.041 , 0.373 , (0.10), 0.49 , 0.28 , 0.39 , 1.05 , High 
KIM,KIMCO REALTY CORP,Financial,REITs, 1.02 , High ,2020-03-31,1,2020, 672.0 ," 11,305.1 ", 218.0 ," 6,414.7 ", (942.0)," 4,809.6 ", 454.0 ," 1,158.9 ", 289.7 , 295.0 ," 1,153.6 ", 398.4 , 111.5 , 110.5 , 399.3 , 430.5 ,11.23," 4,834.57 "," 4,872 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.040 , (0.083), 0.035 , 0.760 , 0.26 , (0.27), 0.24 , 0.79 , 1.02 , High 
OKE,ONEOK INC /NEW/,Resources,Energy, 1.01 , High ,2020-06-30,2,2020," 2,179.9 "," 22,992.5 "," 1,273.1 "," 16,751.8 ", (7.5)," 6,240.7 ", 906.8 ," 10,164.4 "," 3,797.4 "," 5,237.5 "," 8,724.2 "," 1,916.9 ", 271.7 , 947.8 ," 1,240.9 ", 417.0 ,29.04," 12,109.74 "," 6,241 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.039 , (0.000), 0.054 , 0.373 , 0.26 , (0.00), 0.36 , 0.39 , 1.01 , High 
MAA,MID AMERICA APARTMENT COMMUNITIES INC.,Financial,REITs, 0.95 , High ,2020-06-30,2,2020, 35.6 ," 11,131.3 ", 473.8 ," 4,946.4 "," (1,202.5)"," 5,954.8 ", (438.2)," 1,641.0 ", 831.1 , 808.6 ," 1,663.6 ", 430.2 , 216.7 , 208.3 , 438.6 , 114.5 ,117.52," 13,453.92 "," 6,172 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.039), (0.108), 0.039 , 1.248 , (0.26), (0.35), 0.26 , 1.30 , 0.95 , High 
WYNN,WYNN RESORTS LTD,Services,Hospitality, 0.99 , High ,2020-03-31,1,2020," 3,415.4 "," 14,273.3 "," 1,884.8 "," 13,280.9 ", 132.3 ," 1,242.1 "," 1,530.5 "," 6,611.1 ", 953.7 ," 1,651.5 "," 5,913.3 ", 878.3 , (247.4), 255.2 , 375.7 , 106.7 ,76.42," 8,151.19 ", 992 , 6.56 , 3.26 , 6.72 , 1.04 , 0.107 , 0.009 , 0.026 , 0.075 , 0.70 , 0.03 , 0.18 , 0.08 , 0.99 , High 
ES,EVERSOURCE ENERGY,Utilities,Infrastructure, 0.97 , High ,2020-03-31,1,2020," 2,562.7 "," 41,649.0 "," 3,395.6 "," 27,764.9 "," 4,322.8 "," 13,210.0 ", (833.0)," 8,526.5 "," 2,373.7 "," 2,415.8 "," 8,484.4 "," 1,590.5 ", 539.1 , 494.7 ," 1,634.9 ", 332.9 ,90.58," 30,157.45 "," 13,210 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.020), 0.104 , 0.039 , 0.476 , (0.13), 0.34 , 0.26 , 0.49 , 0.97 , High 
MAR,MARRIOTT INTERNATIONAL INC /MD/,Services,Hospitality, 0.95 , High ,2020-03-31,1,2020," 4,049.0 "," 25,549.0 "," 6,516.0 "," 25,569.0 "," 9,504.0 ", (20.0)," (2,467.0)"," 20,972.0 "," 4,681.0 "," 5,012.0 "," 20,641.0 "," 1,800.0 ", 114.0 , 510.0 ," 1,404.0 ", 327.4 ,85.51," 27,995.97 ", (20), 6.56 , 3.26 , 6.72 , 1.04 , (0.097), 0.372 , 0.055 , (0.001), (0.63), 1.21 , 0.37 , (0.00), 0.95 , High 
HES,HESS CORP,Resources,Energy, 0.93 , High ,2020-03-31,1,2020," 4,270.0 "," 20,717.0 "," 1,947.0 "," 12,539.0 "," 1,021.0 "," 7,200.0 "," 2,323.0 "," 6,495.0 "," 1,354.0 "," 1,572.0 "," 6,277.0 ", 586.0 ," (2,347.0)", 240.0 ," (2,001.0)", 304.0 ,47.54," 14,452.16 "," 8,178 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.112 , 0.049 , (0.097), 0.652 , 0.74 , 0.16 , (0.65), 0.68 , 0.93 , High 
DLR,"DIGITAL REALTY TRUST, INC.",Financial,REITs, 0.89 , High ,2020-03-31,1,2020," 1,258.4 "," 33,113.3 "," 1,431.3 "," 15,896.7 "," (3,139.4)"," 16,460.2 ", (172.9)," 3,209.2 ", 823.3 , 814.5 ," 3,218.1 ", 661.7 , 100.0 , 209.0 , 552.7 , 224.5 ,158.73," 35,630.80 "," 17,177 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.005), (0.095), 0.017 , 1.081 , (0.03), (0.31), 0.11 , 1.12 , 0.89 , High 
PPL,PPL CORP,Utilities,Infrastructure, 0.88 , High ,2020-03-31,1,2020," 2,956.0 "," 46,328.0 "," 5,322.0 "," 33,087.0 "," 5,360.0 "," 13,241.0 "," (2,366.0)"," 7,769.0 "," 2,054.0 "," 2,079.0 "," 7,744.0 "," 2,840.0 ", 817.0 , 781.0 ," 2,876.0 ", 768.7 ,26.5," 20,371.56 "," 13,241 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.051), 0.116 , 0.062 , 0.400 , (0.34), 0.38 , 0.42 , 0.42 , 0.88 , High 
IT,GARTNER INC,Services,Business Services, 0.86 , High ,2020-03-31,1,2020," 1,772.6 "," 6,800.3 "," 2,530.3 "," 5,910.1 "," 2,063.8 ", 890.3 , (757.7)," 4,245.3 "," 1,018.9 ", 970.4 ," 4,293.8 ", 370.1 , 124.7 , 48.8 , 446.0 , 90.1 ,125.6," 11,312.29 ", 890 , 6.56 , 3.26 , 6.72 , 1.04 , (0.111), 0.303 , 0.066 , 0.151 , (0.73), 0.99 , 0.44 , 0.16 , 0.86 , High 
AON,AON PLC,Financial,Insurance, 0.85 , High ,2020-03-31,1,2020," 17,345.0 "," 30,282.0 "," 17,111.0 "," 27,022.0 "," 1,455.0 "," 3,169.0 ", 234.0 ," 11,013.0 "," 3,219.0 "," 3,143.0 "," 11,089.0 "," 2,169.0 "," 1,033.0 ", 872.0 ," 2,330.0 ", 234.5 ,207.43," 48,642.34 "," 3,260 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.008 , 0.048 , 0.077 , 0.121 , 0.05 , 0.16 , 0.52 , 0.13 , 0.85 , High 
NWS,NEWS CORP,Services,Media, 0.83 , High ,2020-03-31,3,2020," 3,741.0 "," 14,428.0 "," 2,689.0 "," 5,860.0 "," (2,845.0)"," 7,832.0 "," 1,052.0 "," 10,074.0 "," 7,085.0 "," 7,608.0 "," 9,551.0 ", 397.0 ," (1,117.0)", 410.0 ," (1,130.0)", 587.7 ,12.92," 7,593.08 "," 8,568 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.073 , (0.197), (0.078), 1.462 , 0.48 , (0.64), (0.53), 1.52 , 0.83 , High 
EIX,EDISON INTERNATIONAL,Utilities,Infrastructure, 0.81 , High ,2020-06-30,2,2020," 4,796.0 "," 67,051.0 "," 5,899.0 "," 50,605.0 "," 8,410.0 "," 14,253.0 "," (1,103.0)"," 12,347.0 "," 5,777.0 "," 5,636.0 "," 12,488.0 "," 1,775.0 ", 802.0 , 852.0 ," 1,725.0 ", 368.0 ,54.87," 20,192.16 "," 16,446 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.016), 0.125 , 0.026 , 0.325 , (0.11), 0.41 , 0.17 , 0.34 , 0.81 , High 
FRT,FEDERAL REALTY INVESTMENT TRUST,Financial,REITs, 0.80 , High ,2020-03-31,1,2020," 1,370.4 "," 7,759.9 "," 1,417.6 "," 5,000.8 ", -   ," 2,502.1 ", (47.2), 935.8 , 230.8 , 231.5 , 935.1 , 354.5 , 85.0 , 90.4 , 349.1 , 75.4 ,77," 5,802.72 "," 2,600 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.006), -   , 0.045 , 0.520 , (0.04), -   , 0.30 , 0.54 , 0.80 , High 
SPG,SIMON PROPERTY GROUP INC /DE/,Financial,REITs, 0.79 , High ,2020-03-31,1,2020," 6,933.0 "," 34,121.1 "," 3,386.9 "," 31,398.0 "," (5,583.5)"," 2,181.6 "," 3,546.1 "," 5,755.2 "," 1,353.4 "," 1,452.8 "," 5,655.7 "," 2,907.8 ", 654.9 , 745.0 ," 2,817.7 ", 306.5 ,63.62," 19,499.79 "," 2,511 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.104 , (0.164), 0.083 , 0.080 , 0.68 , (0.53), 0.55 , 0.08 , 0.79 , High 
MPC,MARATHON PETROLEUM CORP,Resources,Energy, 0.78 , High ,2020-03-31,1,2020," 15,693.0 "," 86,317.0 "," 13,569.0 "," 54,121.0 "," 6,380.0 "," 24,088.0 "," 2,124.0 "," 123,949.0 "," 25,215.0 "," 28,253.0 "," 120,911.0 "," 4,875.0 "," (7,391.0)", 356.0 ," (2,872.0)", 648.0 ,38.08," 24,675.84 "," 31,228 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.025 , 0.074 , (0.033), 0.577 , 0.16 , 0.24 , (0.22), 0.60 , 0.78 , High 
PNW,PINNACLE WEST CAPITAL CORP,Utilities,Infrastructure, 0.77 , High ,2020-03-31,1,2020," 1,078.3 "," 18,561.8 "," 2,295.5 "," 12,964.9 "," 2,867.6 "," 5,469.4 "," (1,217.2)"," 3,471.2 ", 661.9 , 740.5 ," 3,392.6 ", 694.9 , 54.3 , 65.2 , 684.1 , 112.9 ,82.7," 9,333.69 "," 5,597 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.066), 0.154 , 0.037 , 0.432 , (0.43), 0.50 , 0.25 , 0.45 , 0.77 , High 
ETR,ENTERGY CORP /DE/,Utilities,Infrastructure, 0.76 , High ,2020-03-31,1,2020," 3,974.0 "," 52,555.0 "," 6,017.9 "," 42,076.7 "," 9,190.1 "," 10,224.0 "," (2,044.0)"," 10,878.7 "," 2,427.2 "," 2,609.6 "," 10,696.3 "," 1,390.5 ", 399.8 , 283.3 ," 1,507.0 ", 200.9 ,104.64," 21,022.32 "," 10,259 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.039), 0.175 , 0.029 , 0.244 , (0.26), 0.57 , 0.19 , 0.25 , 0.76 , High 
AEE,AMEREN CORP,Utilities,Infrastructure, 0.75 , High ,2020-03-31,1,2020," 1,464.0 "," 29,272.0 "," 2,367.0 "," 21,045.0 "," 2,404.0 "," 8,085.0 ", (903.0)," 5,910.0 "," 1,440.0 "," 1,556.0 "," 5,794.0 "," 1,267.0 ", 241.0 , 288.0 ," 1,220.0 ", 248.1 ,79.55," 19,736.36 "," 8,227 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.031), 0.082 , 0.042 , 0.391 , (0.20), 0.27 , 0.28 , 0.41 , 0.75 , High 
NRG,"NRG ENERGY, INC.",Utilities,Infrastructure, 0.75 , High ,2020-03-31,1,2020," 3,479.0 "," 12,822.0 "," 2,852.0 "," 11,286.0 "," (1,570.0)"," 1,536.0 ", 627.0 ," 9,821.0 "," 2,019.0 "," 2,165.0 "," 9,675.0 "," 1,283.0 ", 238.0 , 220.0 ," 1,301.0 ", 249.0 ,33.85," 8,428.65 "," 1,536 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.049 , (0.122), 0.101 , 0.136 , 0.32 , (0.40), 0.68 , 0.14 , 0.75 , High 
GPS,GAP INC,Trade,Retail, 0.69 , High ,2020-05-02,1,2021," 4,216.0 "," 12,710.0 "," 3,431.0 "," 10,393.0 "," 2,235.0 "," 2,317.0 ", 785.0 ," 16,383.0 "," 2,107.0 "," 3,706.0 "," 14,784.0 ", 574.0 ," (1,244.0)", 316.0 , (986.0), 372.0 ,13.63," 5,070.36 "," 2,317 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.062 , 0.176 , (0.078), 0.223 , 0.41 , 0.57 , (0.52), 0.23 , 0.69 , High 
RCL,ROYAL CARIBBEAN CRUISES LTD,Services,Hospitality, 0.67 , High ,2020-03-31,1,2020," 4,594.2 "," 33,445.1 "," 8,982.4 "," 22,635.9 "," 9,915.8 "," 10,231.8 "," (4,388.2)"," 10,950.7 "," 2,032.8 "," 2,439.8 "," 10,543.6 "," 2,082.7 "," (1,306.4)", 318.8 , 457.5 , 209.1 ,50.3," 10,517.58 "," 10,232 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.131), 0.296 , 0.014 , 0.452 , (0.86), 0.97 , 0.09 , 0.47 , 0.67 , High 
ICE,"INTERCONTINENTAL EXCHANGE, INC.",Financial,Financial Services, 0.67 , High ,2020-06-30,2,2020," 97,435.0 "," 124,060.0 "," 96,193.0 "," 106,971.0 "," 10,462.0 "," 16,953.0 "," 1,242.0 "," 6,547.0 "," 4,081.0 "," 3,217.0 "," 7,411.0 "," 2,673.0 "," 1,626.0 "," 1,345.0 "," 2,954.0 ", 552.0 ,94.37," 52,092.24 "," 16,994 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.010 , 0.084 , 0.024 , 0.159 , 0.07 , 0.27 , 0.16 , 0.17 , 0.67 , High 
D,"DOMINION ENERGY, INC",Utilities,Infrastructure, 0.66 , High ,2020-03-31,1,2020," 6,536.0 "," 104,126.0 "," 10,448.0 "," 71,374.0 "," 6,455.0 "," 30,726.0 "," (3,912.0)"," 16,572.0 "," 4,496.0 "," 3,858.0 "," 17,210.0 "," 2,352.0 ", 631.0 , (482.0)," 3,465.0 ", 838.2 ,81.52," 68,330.06 "," 32,752 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.038), 0.062 , 0.033 , 0.459 , (0.25), 0.20 , 0.22 , 0.48 , 0.66 , High 
SO,SOUTHERN CO,Utilities,Infrastructure, 0.64 , High ,2020-06-30,2,2020," 9,069.0 "," 119,731.0 "," 9,334.0 "," 87,479.0 ", -   ," 31,961.0 ", (265.0)," 21,419.0 "," 9,638.0 "," 10,510.0 "," 20,547.0 "," 5,167.0 "," 2,282.0 "," 2,527.0 "," 4,922.0 "," 1,065.0 ",55.24," 58,830.60 "," 31,961 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.002), -   , 0.041 , 0.365 , (0.01), -   , 0.28 , 0.38 , 0.64 , High 
ED,CONSOLIDATED EDISON INC,Utilities,Infrastructure, 0.64 , High ,2020-03-31,1,2020," 5,026.0 "," 59,159.0 "," 6,311.0 "," 40,692.0 ", -   ," 18,261.0 "," (1,285.0)"," 12,574.0 "," 3,234.0 "," 3,514.0 "," 12,294.0 "," 2,676.0 ", 808.0 , 786.0 ," 2,698.0 ", 334.6 ,76.94," 25,744.12 "," 18,467 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.022), -   , 0.046 , 0.454 , (0.14), -   , 0.31 , 0.47 , 0.64 , High 
SRE,SEMPRA ENERGY,Utilities,Infrastructure, 0.64 , High ,2020-03-31,1,2020," 5,424.0 "," 68,293.0 "," 12,177.0 "," 46,178.0 "," 11,577.0 "," 20,137.0 "," (6,753.0)"," 10,829.0 "," 3,029.0 "," 2,898.0 "," 10,960.0 "," 2,584.0 ", 904.0 , 658.0 ," 2,830.0 ", 313.9 ,123.75," 38,848.22 "," 20,137 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.099), 0.170 , 0.041 , 0.436 , (0.65), 0.55 , 0.28 , 0.45 , 0.64 , High 
XEL,XCEL ENERGY INC,Utilities,Infrastructure, 0.62 , High ,2020-03-31,1,2020," 2,983.0 "," 51,133.0 "," 5,839.0 "," 37,831.0 "," 5,478.0 "," 13,302.0 "," (2,856.0)"," 11,529.0 "," 2,811.0 "," 3,141.0 "," 11,199.0 "," 2,104.0 ", 455.0 , 486.0 ," 2,073.0 ", 527.0 ,69," 36,363.00 "," 13,302 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.056), 0.107 , 0.041 , 0.352 , (0.37), 0.35 , 0.27 , 0.37 , 0.62 , High 
IRM,IRON MOUNTAIN INC,Financial,REITs, 0.60 , High ,2020-03-31,1,2020," 1,199.1 "," 13,566.3 "," 1,581.3 "," 9,689.9 ", -   ," 3,814.1 ", (382.2)," 4,262.6 "," 1,068.7 "," 1,053.9 "," 4,277.5 ", 781.3 , 136.4 , 159.3 , 758.5 , 288.4 ,28.25," 8,146.15 "," 3,814 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.028), -   , 0.056 , 0.394 , (0.18), -   , 0.38 , 0.41 , 0.60 , High 
CME,CME GROUP INC.,Financial,Financial Services, 0.58 , High ,2020-03-31,1,2020," 102,416.6 "," 137,932.3 "," 101,053.7 "," 111,333.6 "," 5,469.9 "," 26,567.7 "," 1,362.9 "," 4,868.0 "," 1,522.1 "," 1,179.6 "," 5,210.5 "," 2,587.8 ", 959.9 , 631.0 ," 2,916.7 ", 358.5 ,163.1," 58,464.01 "," 26,599 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.010 , 0.040 , 0.021 , 0.239 , 0.06 , 0.13 , 0.14 , 0.25 , 0.58 , High 
ORLY,O REILLY AUTOMOTIVE INC,Trade,Retail, 0.58 , High ,2020-03-31,1,2020," 4,201.8 "," 11,108.9 "," 4,624.9 "," 11,000.0 "," (1,137.4)", 108.8 , (423.1)," 10,150.0 "," 2,476.5 "," 2,410.6 "," 10,215.9 "," 1,920.7 ", 423.6 , 444.8 ," 1,899.5 ", 75.7 ,480.52," 36,357.58 ", 109 , 6.56 , 3.26 , 6.72 , 1.04 , (0.038), (0.102), 0.171 , 0.010 , (0.25), (0.33), 1.15 , 0.01 , 0.58 , High 
DUK,DUKE ENERGY CORP,Utilities,Infrastructure, 0.57 , High ,2020-03-31,1,2020," 10,181.0 "," 160,072.0 "," 15,170.0 "," 111,989.0 "," 4,221.0 "," 46,921.0 "," (4,989.0)"," 25,079.0 "," 5,949.0 "," 6,163.0 "," 24,865.0 "," 5,713.0 "," 1,487.0 "," 1,376.0 "," 5,824.0 ", 736.0 ,84.57," 62,243.52 "," 48,083 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.031), 0.026 , 0.036 , 0.429 , (0.20), 0.09 , 0.24 , 0.45 , 0.57 , High 
AWK,"AMERICAN WATER WORKS COMPANY, INC.",Utilities,Infrastructure, 0.56 , High ,2020-03-31,1,2020," 1,801.0 "," 23,546.0 "," 2,767.0 "," 15,937.0 ", (83.0)," 7,605.0 ", (966.0)," 3,610.0 ", 844.0 , 813.0 ," 3,641.0 "," 1,204.0 ", 239.0 , 235.0 ," 1,208.0 ", 181.0 ,146.63," 26,540.03 "," 7,605 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.041), (0.004), 0.051 , 0.477 , (0.27), (0.01), 0.34 , 0.50 , 0.56 , High 
ABC,AMERISOURCEBERGEN CORP,Trade,Wholesale, 0.55 , High ,2020-03-31,2,2020," 31,180.7 "," 42,042.3 "," 32,111.8 "," 38,337.1 "," 5,248.0 "," 3,590.6 ", (931.1)," 179,589.1 "," 95,282.4 "," 88,712.1 "," 186,159.4 "," 1,111.9 ", 573.0 , 525.4 ," 1,159.5 ", 207.3 ,102.17," 21,179.13 "," 3,705 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.022), 0.125 , 0.028 , 0.097 , (0.15), 0.41 , 0.19 , 0.10 , 0.55 , High 
AES,AES CORP,Utilities,Infrastructure, 0.54 , High ,2020-03-31,1,2020," 5,751.0 "," 34,142.0 "," 5,432.0 "," 28,552.0 ", (583.0)," 2,539.0 ", 319.0 ," 10,189.0 "," 2,338.0 "," 2,650.0 "," 9,877.0 "," 1,888.0 ", 459.0 , 528.0 ," 1,819.0 ", 668.0 ,15.42," 10,300.56 "," 4,717 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.009 , (0.017), 0.053 , 0.165 , 0.06 , (0.06), 0.36 , 0.17 , 0.54 , High 
CMS,CMS ENERGY CORP,Utilities,Infrastructure, 0.53 , High ,2020-03-31,1,2020," 2,817.0 "," 27,447.0 "," 2,940.0 "," 22,225.0 ", 51.0 ," 5,185.0 ", (123.0)," 6,845.0 "," 1,864.0 "," 2,059.0 "," 6,650.0 "," 1,239.0 ", 368.0 , 359.0 ," 1,248.0 ", 285.2 ,63.93," 18,232.84 "," 5,222 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.004), 0.002 , 0.045 , 0.235 , (0.03), 0.01 , 0.31 , 0.24 , 0.53 , High 
VNO,VORNADO REALTY TRUST,Financial,REITs, 0.52 , High ,2020-03-31,1,2020," 2,176.5 "," 18,209.7 "," 2,023.2 "," 10,292.6 "," (2,091.6)"," 6,837.0 ", 153.3 ," 1,924.7 ", 444.5 , 534.7 ," 1,834.6 ", 299.5 , 80.1 , 107.5 , 272.2 , 191.1 ,35.24," 6,734.82 "," 7,293 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.008 , (0.115), 0.015 , 0.709 , 0.06 , (0.37), 0.10 , 0.74 , 0.52 , High 
KMI,"KINDER MORGAN, INC.",Resources,Energy, 0.50 , High ,2020-06-30,2,2020," 2,490.0 "," 71,784.0 "," 5,202.0 "," 38,892.0 "," (9,802.0)"," 31,753.0 "," (2,712.0)"," 13,209.0 "," 5,666.0 "," 6,643.0 "," 12,232.0 "," 3,848.0 "," 1,737.0 "," 1,981.0 "," 3,604.0 "," 2,263.0 ",14.32," 32,406.16 "," 32,124 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.038), (0.137), 0.050 , 0.826 , (0.25), (0.45), 0.34 , 0.86 , 0.50 , High 
CNP,CENTERPOINT ENERGY INC,Utilities,Infrastructure, 0.47 , High ,2020-03-31,1,2020," 4,164.0 "," 33,395.0 "," 4,042.0 "," 26,425.0 ", (761.0)," 6,970.0 ", 122.0 ," 12,301.0 "," 2,167.0 "," 2,229.0 "," 12,239.0 "," 1,226.0 ", 217.0 , 211.0 ," 1,232.0 ", 502.4 ,19.13," 9,610.68 "," 6,970 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.004 , (0.023), 0.037 , 0.264 , 0.02 , (0.07), 0.25 , 0.27 , 0.47 , High 
AEP,AMERICAN ELECTRIC POWER CO INC,Utilities,Infrastructure, 0.47 , High ,2020-03-31,1,2020," 5,292.0 "," 77,724.0 "," 11,654.7 "," 57,598.3 "," 10,038.8 "," 19,728.4 "," (6,362.7)"," 15,561.4 "," 3,747.5 "," 4,056.8 "," 15,252.1 "," 2,592.3 ", 751.6 , 788.4 ," 2,555.5 ", 496.6 ,86.07," 42,743.13 "," 20,008 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.082), 0.129 , 0.033 , 0.347 , (0.54), 0.42 , 0.22 , 0.36 , 0.47 , High 
LDOS,"LEIDOS HOLDINGS, INC.",Services,Technology Services, 0.44 , High ,2020-04-03,1,2020," 2,868.0 "," 10,988.0 "," 4,290.0 "," 7,629.0 ", 961.0 ," 3,355.0 "," (1,422.0)"," 11,094.0 "," 2,889.0 "," 2,577.0 "," 11,406.0 ", 894.0 , 186.0 , 188.0 , 892.0 , 144.0 ,92.36," 13,299.84 "," 3,359 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.129), 0.087 , 0.081 , 0.440 , (0.85), 0.29 , 0.55 , 0.46 , 0.44 , High 
WU,WESTERN UNION CO,Financial,Financial Services, 0.44 , High ,2020-03-31,1,2020," 4,207.4 "," 8,365.4 "," 4,151.1 "," 8,515.1 ", (828.2), (149.7), 56.3 ," 5,292.1 "," 1,190.0 "," 1,337.0 "," 5,145.1 ", 934.0 , 233.2 , 251.2 , 916.0 , 418.3 ,24.23," 10,135.41 ", (150), 6.56 , 3.26 , 6.72 , 1.04 , 0.007 , (0.099), 0.109 , (0.018), 0.04 , (0.32), 0.74 , (0.02), 0.44 , High 
FCX,FREEPORT-MCMORAN INC,Resources,Metals & Mining, 0.40 , High ,2020-03-31,1,2020," 7,357.0 "," 40,219.0 "," 3,143.0 "," 23,256.0 "," (12,771.0)"," 8,855.0 "," 4,214.0 "," 14,402.0 "," 2,798.0 "," 3,792.0 "," 13,408.0 ", 674.0 , (462.0), 288.0 , (76.0)," 1,452.0 ",12.94," 18,788.88 "," 16,963 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.105 , (0.318), (0.002), 0.729 , 0.69 , (1.04), (0.01), 0.76 , 0.40 , High 
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",Services,Media, 0.51 , High ,2020-06-30,2,2020," 4,765.0 "," 145,136.0 "," 9,142.0 "," 108,735.0 "," 1,202.0 "," 29,356.0 "," (4,377.0)"," 45,764.0 "," 23,434.0 "," 22,553.0 "," 46,645.0 "," 6,442.0 "," 3,792.0 "," 2,984.0 "," 7,250.0 ", 212.2 ,563.44," 119,538.43 "," 36,401 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.030), 0.008 , 0.050 , 0.335 , (0.20), 0.03 , 0.34 , 0.35 , 0.51 , High 
AZO,AUTOZONE INC,Trade,Retail, 0.28 , High ,2020-05-09,3,2020," 5,398.0 "," 12,902.1 "," 5,769.1 "," 14,534.9 "," (2,191.4)"," (1,632.7)", (371.1)," 11,863.7 "," 8,086.0 "," 7,875.3 "," 12,074.4 "," 2,216.1 "," 1,399.6 "," 1,435.4 "," 2,180.4 ", 24.2 ,1209.75," 29,227.56 "," (1,633)", 6.56 , 3.26 , 6.72 , 1.04 , (0.029), (0.170), 0.169 , (0.112), (0.19), (0.55), 1.14 , (0.12), 0.28 , High 
CTL,"CENTURYLINK, INC",Utilities,Telecommunications, 0.23 , High ,2020-03-31,1,2020," 4,690.0 "," 64,056.0 "," 5,703.0 "," 50,765.0 "," (6,486.0)"," 13,291.0 "," (1,013.0)"," 22,401.0 "," 5,228.0 "," 5,427.0 "," 22,202.0 "," (2,726.0)", 980.0 ," (5,499.0)"," 3,753.0 "," 1,081.8 ",9.74," 10,536.28 "," 13,291 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.016), (0.101), 0.059 , 0.262 , (0.10), (0.33), 0.39 , 0.27 , 0.23 , High 
